"rules" "support" "confidence" "coverage" "lift" "count"
"2" "{mayonnaise,other vegetables} => {whole milk}" 0.00615700359158543 0.8 0.00769625448948179 1.74602463605823 24
"3" "{sausage,soft cheese} => {whole milk}" 0.00538737814263725 0.807692307692308 0.00667008722421755 1.76281333448187 21
"4" "{curd,ham} => {whole milk}" 0.00590046177526937 0.821428571428571 0.00718317085684967 1.7927931530955 23
"5" "{cat food,rolls/buns,tropical fruit} => {whole milk}" 0.00513083632632119 0.8 0.00641354540790149 1.74602463605823 20
"6" "{bottled water,other vegetables,specialty chocolate} => {whole milk}" 0.00667008722421755 0.8125 0.0082093381221139 1.77330627099664 26
"7" "{butter milk,rolls/buns,shopping bags} => {whole milk}" 0.00564391995895331 0.814814814814815 0.00692662904053361 1.77835842561486 22
"8" "{domestic eggs,meat,other vegetables} => {whole milk}" 0.00564391995895331 0.88 0.00641354540790149 1.92062709966405 22
"9" "{brown bread,meat,other vegetables} => {whole milk}" 0.00513083632632119 0.869565217391304 0.00590046177526937 1.89785286528069 20
"10" "{ham,pastry,yogurt} => {whole milk}" 0.00538737814263725 0.954545454545455 0.00564391995895331 2.08332484984221 21
"11" "{ham,pastry,rolls/buns} => {whole milk}" 0.00513083632632119 0.8 0.00641354540790149 1.74602463605823 20
"12" "{ham,rolls/buns,root vegetables} => {whole milk}" 0.00641354540790149 0.833333333333333 0.00769625448948179 1.81877566256066 25
"13" "{rolls/buns,root vegetables,sugar} => {whole milk}" 0.00615700359158543 0.827586206896552 0.00743971267316573 1.8062323821292 24
"14" "{hamburger meat,pip fruit,soda} => {whole milk}" 0.00513083632632119 0.8 0.00641354540790149 1.74602463605823 20
"15" "{berries,pip fruit,yogurt} => {whole milk}" 0.00513083632632119 0.833333333333333 0.00615700359158543 1.81877566256066 20
"16" "{bottled water,butter,chicken} => {whole milk}" 0.00513083632632119 0.8 0.00641354540790149 1.74602463605823 20
"17" "{frozen vegetables,shopping bags,yogurt} => {whole milk}" 0.00538737814263725 0.807692307692308 0.00667008722421755 1.76281333448187 21
"18" "{beef,bottled beer,citrus fruit} => {whole milk}" 0.00513083632632119 0.833333333333333 0.00615700359158543 1.81877566256066 20
"19" "{beef,bottled beer,root vegetables} => {whole milk}" 0.00538737814263725 0.807692307692308 0.00667008722421755 1.76281333448187 21
"20" "{brown bread,canned beer,curd} => {whole milk}" 0.00538737814263725 0.84 0.00641354540790149 1.83332586786114 21
"21" "{brown bread,curd,soda} => {whole milk}" 0.00667008722421755 0.866666666666667 0.00769625448948178 1.89152668906308 26
"22" "{curd,shopping bags,soda} => {whole milk}" 0.00769625448948179 0.810810810810811 0.0094920472036942 1.76961956357253 30
"23" "{canned beer,root vegetables,shopping bags} => {whole milk}" 0.0082093381221139 0.8 0.0102616726526424 1.74602463605823 32
"24" "{other vegetables,pork,soda,yogurt} => {whole milk}" 0.00718317085684967 0.8 0.00897896357106208 1.74602463605823 28
"25" "{brown bread,rolls/buns,shopping bags,yogurt} => {whole milk}" 0.00590046177526937 0.851851851851852 0.00692662904053361 1.85919289950645 23
"26" "{brown bread,rolls/buns,shopping bags,soda} => {whole milk}" 0.00538737814263725 0.84 0.00641354540790149 1.83332586786114 21
"27" "{bottled water,frankfurter,other vegetables,yogurt} => {whole milk}" 0.00564391995895331 0.814814814814815 0.00692662904053361 1.77835842561486 22
"28" "{bottled beer,other vegetables,rolls/buns,yogurt} => {whole milk}" 0.00769625448948179 0.833333333333333 0.00923550538737814 1.81877566256066 30
"29" "{bottled water,canned beer,other vegetables,yogurt} => {whole milk}" 0.00513083632632119 0.8 0.00641354540790149 1.74602463605823 20
"30" "{canned beer,other vegetables,tropical fruit,yogurt} => {whole milk}" 0.00615700359158543 0.8 0.00769625448948179 1.74602463605823 24
"31" "{bottled water,pip fruit,rolls/buns,yogurt} => {whole milk}" 0.00513083632632119 0.869565217391304 0.00590046177526937 1.89785286528069 20
"32" "{bottled water,other vegetables,pip fruit,yogurt} => {whole milk}" 0.00718317085684967 0.823529411764706 0.00872242175474602 1.79737830182465 28
"33" "{pastry,rolls/buns,root vegetables,yogurt} => {whole milk}" 0.00564391995895331 0.814814814814815 0.00692662904053361 1.77835842561486 22
"34" "{other vegetables,pastry,rolls/buns,yogurt} => {whole milk}" 0.00897896357106208 0.813953488372093 0.0110312981015906 1.77647855412901 35
"35" "{bottled water,rolls/buns,root vegetables,yogurt} => {whole milk}" 0.00667008722421755 0.838709677419355 0.00795279630579785 1.83050969909331 26
